Silver-Buy,Silver-Sell,Date
34.5,32.9,10-09-11 21:32:49
33.45,31.95,10-10-11 09:56:52
33.4,31.9,10-10-11 10:03:00
33.4,32.0,10-10-11 10:12:12
33.45,32.0,10-10-11 10:15:15
33.0,32.55,10-10-11 10:18:19
32.95,32.5,10-10-11 10:21:23
32.95,32.55,10-10-11 10:24:27
32.85,32.45,10-10-11 10:27:31
32.8,32.4,10-10-11 10:30:35
32.85,32.4,10-10-11 10:33:39
32.9,32.45,10-10-11 10:37:44
32.8,32.4,10-10-11 10:41:49
32.85,32.45,10-10-11 10:47:56
32.9,32.45,10-10-11 10:55:05
32.85,32.45,10-10-11 10:58:10
32.8,32.4,10-10-11 11:01:13
32.8,32.35,10-10-11 11:04:17
32.85,32.4,10-10-11 11:07:21
32.9,32.45,10-10-11 11:10:25
32.8,32.35,10-10-11 11:13:29
32.9,32.45,10-10-11 11:19:37
32.85,32.4,10-10-11 11:22:40
32.9,32.45,10-10-11 11:25:44
32.9,32.5,10-10-11 11:28:48
32.95,32.55,10-10-11 11:31:52
33.05,32.65,10-10-11 11:39:00
33.1,32.65,10-10-11 11:42:04
33.0,32.6,10-10-11 11:48:12
33.05,32.6,10-10-11 11:51:16
33.1,32.65,10-10-11 11:54:20
33.05,32.65,10-10-11 11:57:24
33.05,32.6,10-10-11 12:00:28
33.1,32.65,10-10-11 12:03:32
33.05,32.6,10-10-11 12:06:36
33.0,32.6,10-10-11 12:09:39
33.0,32.55,10-10-11 12:13:45
33.05,32.6,10-10-11 12:15:47
33.1,32.65,10-10-11 12:19:52
33.0,32.55,10-10-11 12:24:59
32.95,32.5,10-10-11 12:29:04
32.9,32.45,10-10-11 12:32:08
33.4,31.95,10-10-11 12:41:20
33.55,32.15,10-10-11 13:57:58
33.55,32.1,10-10-11 14:04:05
33.05,32.6,10-10-11 14:07:09
33.2,32.75,10-10-11 14:10:13
33.2,32.8,10-10-11 14:14:18
33.25,32.85,10-10-11 14:16:21
33.25,32.8,10-10-11 14:19:25
33.25,32.85,10-10-11 14:22:28
33.25,32.8,10-10-11 14:26:34
33.2,32.8,10-10-11 14:31:40
33.2,32.75,10-10-11 14:38:54
33.15,32.75,10-10-11 14:44:02
33.15,32.7,10-10-11 14:48:07
33.2,32.75,10-10-11 14:55:16
33.15,32.75,10-10-11 14:58:21
33.2,32.75,10-10-11 15:00:24
33.15,32.7,10-10-11 15:03:27
33.1,32.65,10-10-11 15:13:40
33.05,32.6,10-10-11 15:19:48
33.0,32.6,10-10-11 15:22:52
33.1,32.65,10-10-11 15:28:59
33.05,32.6,10-10-11 15:35:10
33.0,32.55,10-10-11 15:38:14
32.95,32.55,10-10-11 15:41:20
32.95,32.5,10-10-11 15:44:23
33.0,32.55,10-10-11 15:47:27
33.05,32.6,10-10-11 16:02:47
33.15,32.7,10-10-11 16:05:50
33.15,32.75,10-10-11 16:15:02
33.1,32.65,10-10-11 16:18:05
33.05,32.65,10-10-11 16:27:17
33.1,32.65,10-10-11 16:30:21
33.0,32.55,10-10-11 16:37:30
32.95,32.5,10-10-11 16:40:34
32.95,32.55,10-10-11 16:43:38
32.9,32.5,10-10-11 16:45:41
32.95,32.5,10-10-11 16:49:46
32.9,32.5,10-10-11 16:52:49
33.3,31.9,10-10-11 20:24:33
33.4,31.95,10-10-11 20:32:43
33.35,31.9,10-10-11 20:35:47
33.3,31.9,10-10-11 20:38:51
33.3,31.85,10-10-11 20:41:54
33.35,31.9,10-10-11 20:44:59
33.2,31.8,10-10-11 20:48:02
33.3,31.85,10-10-11 20:51:06
33.25,31.85,10-10-11 20:54:10
33.3,31.9,10-10-11 21:00:18
33.4,31.95,10-10-11 21:06:26
33.45,31.9,10-10-11 21:09:30
33.45,31.95,10-10-11 21:12:34
33.45,31.9,10-10-11 21:15:38
33.4,31.9,10-10-11 21:18:42
33.35,31.85,10-10-11 21:24:50
33.25,31.7,10-10-11 21:27:54
33.15,31.65,10-10-11 21:30:59
33.15,31.75,10-10-11 21:34:02
33.15,31.7,10-10-11 21:37:06
33.2,31.75,10-10-11 21:40:11
33.2,31.7,10-10-11 21:43:15
33.15,31.75,10-10-11 21:46:18
33.2,31.75,10-10-11 21:49:22
33.25,31.75,10-10-11 21:55:31
33.25,31.8,10-10-11 21:58:35
33.2,31.8,10-10-11 22:01:39
33.15,31.75,10-10-11 22:04:43
33.2,31.75,10-10-11 22:07:52
33.15,31.75,10-10-11 22:10:58
33.2,31.8,10-10-11 22:23:15
33.25,31.85,10-10-11 22:26:18
33.25,31.8,10-10-11 22:35:30
33.15,31.75,10-10-11 22:38:34
33.2,31.75,10-10-11 22:41:39
33.2,31.8,10-10-11 22:44:42
33.2,31.75,10-10-11 22:48:47
33.2,31.8,10-10-11 22:50:50
33.15,31.75,10-10-11 22:53:54
33.1,31.7,10-10-11 22:56:58
33.15,31.75,10-10-11 23:01:03
33.1,31.7,10-10-11 23:10:18
33.15,31.75,10-10-11 23:13:21
33.1,31.7,10-10-11 23:16:25
33.1,31.6,10-10-11 23:25:38
33.1,31.7,10-10-11 23:28:41
33.15,31.75,10-10-11 23:37:57
33.2,31.75,10-10-11 23:41:03
33.15,31.75,10-10-11 23:44:08
33.25,31.85,10-10-11 23:47:12
33.25,31.8,10-10-11 23:50:16
33.25,31.85,10-10-11 23:52:18
33.3,31.9,10-10-11 23:56:24
33.3,31.85,10-11-11 00:08:43
33.25,31.85,10-11-11 00:11:47
33.25,31.8,10-11-11 00:14:50
33.3,31.85,10-11-11 00:17:55
33.25,31.85,10-11-11 00:24:03
33.25,31.8,10-11-11 00:27:06
33.25,31.85,10-11-11 00:33:14
33.25,31.8,10-11-11 00:36:18
33.3,31.85,10-11-11 00:39:22
33.3,31.8,10-11-11 00:45:29
33.25,31.8,10-11-11 00:48:33
33.3,31.85,10-11-11 00:51:37
33.35,31.85,10-11-11 00:54:42
33.3,31.85,10-11-11 00:57:46
33.3,31.8,10-11-11 01:03:55
33.3,31.85,10-11-11 01:06:59
33.25,31.85,10-11-11 01:10:03
33.25,31.8,10-11-11 01:16:10
33.3,31.75,10-11-11 01:19:14
33.35,31.8,10-11-11 01:49:53
33.3,31.85,10-11-11 02:02:09
33.6,32.0,10-11-11 02:06:14
33.5,32.0,10-11-11 02:09:18
33.45,31.95,10-11-11 02:18:30
33.4,31.95,10-11-11 02:21:34
33.4,31.9,10-11-11 02:24:38
33.3,31.9,10-11-11 02:26:40
33.35,31.9,10-11-11 02:30:45
33.4,31.85,10-11-11 02:33:49
33.4,31.9,10-11-11 02:36:53
33.35,31.9,10-11-11 02:39:57
33.35,31.85,10-11-11 02:43:01
33.35,31.9,10-11-11 02:49:09
33.35,31.85,10-11-11 02:52:13
33.35,31.9,10-11-11 03:01:24
33.35,31.85,10-11-11 03:10:36
33.3,31.85,10-11-11 03:13:39
33.35,31.85,10-11-11 03:16:43
33.3,31.85,10-11-11 03:19:47
33.35,31.85,10-11-11 03:22:52
33.35,31.8,10-11-11 03:25:56
33.35,31.9,10-11-11 03:29:00
33.4,31.9,10-11-11 03:35:08
33.35,31.85,10-11-11 03:38:12
33.35,31.9,10-11-11 03:41:15
33.35,31.95,10-11-11 03:44:19
33.35,31.9,10-11-11 03:47:23
33.4,31.9,10-11-11 03:53:30
33.35,31.9,10-11-11 03:56:34
33.4,31.9,10-11-11 03:59:38
33.35,31.9,10-11-11 04:02:41
33.3,31.8,10-11-11 04:05:45
33.3,31.85,10-11-11 04:11:52
33.3,31.8,10-11-11 04:14:56
33.3,31.85,10-11-11 04:18:00
33.3,31.9,10-11-11 04:25:09
33.35,31.85,10-11-11 04:27:12
33.3,31.8,10-11-11 04:30:16
33.35,31.9,10-11-11 04:49:40
33.35,31.85,10-11-11 04:52:44
33.4,31.9,10-11-11 04:58:52
33.35,31.9,10-11-11 05:04:59
33.4,31.9,10-11-11 05:20:18
33.45,31.95,10-11-11 05:23:21
33.45,32.0,10-11-11 05:26:25
33.45,31.95,10-11-11 05:29:29
33.45,32.0,10-11-11 05:32:33
33.6,32.05,10-11-11 05:35:37
33.55,32.05,10-11-11 05:38:41
33.55,32.0,10-11-11 05:47:52
33.55,32.05,10-11-11 05:50:56
33.6,32.05,10-11-11 05:54:00
33.65,32.1,10-11-11 05:57:04
33.6,32.1,10-11-11 06:06:15
33.5,32.05,10-11-11 06:15:27
33.6,32.1,10-11-11 06:18:31
33.55,32.05,10-11-11 06:30:46
33.45,32.0,10-11-11 06:36:53
33.45,31.95,10-11-11 06:39:57
33.35,31.85,10-11-11 06:43:01
33.35,31.9,10-11-11 06:47:06
33.45,32.0,10-11-11 06:50:10
33.35,31.9,10-11-11 06:52:12
33.4,31.9,10-11-11 06:59:21
33.3,31.85,10-11-11 07:04:28
33.4,31.9,10-11-11 07:07:32
33.4,32.0,10-11-11 07:17:45
33.4,31.9,10-11-11 07:20:49
33.5,31.9,10-11-11 07:26:57
33.45,31.9,10-11-11 07:30:01
33.5,31.95,10-11-11 07:33:05
33.55,32.0,10-11-11 07:36:09
33.5,32.0,10-11-11 07:39:12
33.5,32.05,10-11-11 07:42:16
33.55,32.1,10-11-11 07:45:20
