Asset,BuyPriceLowerCap,SellPriceHigherCap,SpreadCap
Silver,31.0,33.0,0.035
Silver,30.5,33.2,0.035
Silver,30.0,33.4,0.035
Silver,29.5,33.6,0.035
Silver,29.5,33.8,0.035
Silver,29.5,34.0,0.035
Gold,1600,1900,0.025
Gold,1580,1900,0.025
Gold,1550,1900,0.025
Gold,1500,1900,0.025
