Buy,Sell,Date
1337.5,1317.5,10/25/2010
1329.5,1309.5,10/26/2010
1324.5,1304.5,10/27/2010
1333.5,1313.5,10/28/2010
1346.75,1326.75,10/29/2010
1354.5,1334.5,11/1/2010
1351,1331,11/2/2010
1345.5,1325.5,11/3/2010
1381,1361,11/4/2010
1395.5,1375.5,11/5/2010
1388.5,1368.5,11/8/2010
1421,1401,11/9/2010
1390.5,1370.5,11/10/2010
1398.5,1378.5,11/11/2010
1388.5,1368.5,11/12/2010
1368.5,1348.5,11/15/2010
1349,1329,11/16/2010
1337.5,1317.5,11/17/2010
1350.25,1330.25,11/18/2010
1342.5,1322.5,11/19/2010
1356.5,1336.5,11/22/2010
1377.5,1357.5,11/23/2010
1372.5,1352.5,11/24/2010
1373.25,1353.25,11/25/2010
1355,1335,11/26/2010
1357,1337,11/29/2010
1383.5,1363.5,11/30/2010
1385.5,1365.5,12/1/2010
1389,1369,12/2/2010
1403.5,1383.5,12/3/2010
1415.25,1395.25,12/6/2010
1420,1400,12/7/2010
1385.5,1365.5,12/8/2010
1391.25,1371.25,12/9/2010
1375.25,1355.25,12/10/2010
1399,1379,12/13/2010
1394.5,1374.5,12/14/2010
1388.75,1368.75,12/15/2010
1363,1343,12/16/2010
1368.5,1348.5,12/17/2010
1380,1360,12/20/2010
1383,1363,12/21/2010
1387,1367,12/22/2010
1373.5,1353.5,12/23/2010
1412.5,1392.5,12/29/2010
1405.5,1385.5,12/30/2010
