Gold-Buy,Gold-Sell,Date
1731.6,1661.8,10-10-11 22:23:15
1730.7,1660.1,10-10-11 22:29:22
1731.4,1660.8,10-10-11 22:32:26
1731.2,1660.6,10-10-11 22:35:30
1730.6,1660.4,10-10-11 22:38:34
1731.3,1660.8,10-10-11 22:41:39
1731.0,1660.8,10-10-11 22:44:42
1731.4,1660.9,10-10-11 22:48:47
1731.8,1661.2,10-10-11 22:50:50
1731.4,1660.9,10-10-11 22:53:54
1731.1,1660.8,10-10-11 22:56:58
1731.4,1661.1,10-10-11 23:01:03
1730.5,1661.3,10-10-11 23:03:08
1730.6,1660.2,10-10-11 23:06:12
1730.6,1660.0,10-10-11 23:10:18
1730.5,1660.5,10-10-11 23:13:21
1731.6,1661.0,10-10-11 23:16:25
1731.0,1661.1,10-10-11 23:18:28
1731.5,1661.0,10-10-11 23:22:33
1731.4,1661.2,10-10-11 23:25:38
1732.2,1661.6,10-10-11 23:28:41
1732.4,1662.5,10-10-11 23:30:44
1732.5,1662.2,10-10-11 23:34:52
1732.6,1662.5,10-10-11 23:37:57
1733.7,1662.6,10-10-11 23:41:03
1732.7,1662.7,10-10-11 23:44:08
1733.8,1663.8,10-10-11 23:47:12
1734.2,1663.5,10-10-11 23:50:16
1733.9,1664.4,10-10-11 23:52:18
1735.1,1665.2,10-10-11 23:56:24
1735.1,1666.0,10-11-11 00:02:34
1733.6,1664.4,10-11-11 00:05:38
1734.1,1663.5,10-11-11 00:08:43
1733.4,1663.0,10-11-11 00:11:47
1733.6,1663.1,10-11-11 00:14:50
1734.0,1663.7,10-11-11 00:17:55
1734.5,1664.5,10-11-11 00:20:59
1733.1,1664.1,10-11-11 00:24:03
1733.2,1663.8,10-11-11 00:27:06
1733.5,1663.2,10-11-11 00:30:10
1733.9,1663.4,10-11-11 00:33:14
1733.6,1663.1,10-11-11 00:36:18
1734.0,1663.7,10-11-11 00:39:22
1733.8,1664.4,10-11-11 00:42:26
1733.4,1663.1,10-11-11 00:45:29
1733.7,1663.5,10-11-11 00:48:33
1734.0,1663.6,10-11-11 00:51:37
1738.2,1664.3,10-11-11 00:54:42
1734.7,1664.5,10-11-11 00:57:46
1735.4,1665.2,10-11-11 01:00:51
1735.2,1664.4,10-11-11 01:03:55
